sample_ID_DNA	FILTTIME	FILTVOL	COMNT_SAMP
1901-0026	00:19	300	
1901-0030	00:21	300	torrt och sprött filter
1901-0031	00:16	250	
1901-0010	00:17	300	
1901-0008	00:18	300	torrt och sprött filter
1901-0007	00:23	300	
1901-0004	00:21	300	preppat det vikta
1901-0037	00:20	250	
1901-0036	00:17	250	
1901-0039	00:16		
1901-0001	00:23	300	preppat det rullade
1925-0001	00:30	1000	
1901-0113	00:32	500	
1901-0119	00:36	500	
1901-0111	00:38	500	
1901-0120	00:38	500	
1901-0123	00:38	500	
1901-0107	00:32	500	torrt och sprött filter
1901-0097	00:48	500	
1901-0126	00:32	500	torrt och sprött filter
1901-0131	00:29	500	
1925-0002	00:10	500	fel volym lysis buffer?
1901-0180	00:36	500	
1901-0176	00:44	500	mkt färg på supernatanten
1901-0175	00:39	500	
1901-0181	00:36	500	
1901-0172	00:31	500	
1901-0183	00:36	500	
1901-0184	00:39	500	
1901-0186	00:43	400	
1901-0169	00:31	500	
1901-0170	00:23	500	mkt färg på filtret
1926-0001	00:15	500	
B1 190319	00:07	300	
B1 190325	00:17	200	
BY31 190312	00:15	300	
BY31 190328	00:07	500	
1901-0204	00:20	500	
1901-0202	00:38	500	
1901-0210	00:29	500	
1901-0201	00:25	500	
1901-0198	00:17	500	
1901-0195	00:16	400	
1901-0194	00:30	500	
1901-0191	00:27	500	
1901-0214	00:19	500	
1901-0212	00:27	500	
1901-0216	00:19	500	
1918-0055	00:13	500	
B1 190402	00:18	500	
B1 190411	00:29	300	
B1 190416	00:22	300	BB från kit 3
B1 190423	00:24	500	
BY31 190401	00:22	500	BB från kit 3
BY31 190410	00:18	500	
BY31 190415	00:23	500	
BY31 190424	00:07	500	BB från kit 3
1901-0284	00:18	500	
1901-0291	00:23	500	
1901-0292	00:22	500	
1901-0283	00:21	500	
1901-0280	00:23	500	
1901-0277	02:20	500	
1901-0276	00:20	500	
1901-0273	00:29	500	"preppat rör märkt ""repl"""
1901-0296	00:20	500	
1901-0295	00:26	500	
1901-05v		500	
1901-05ö	00:11	500	preppat ett av dem
1918-0069	00:14	500	
1926-0002	00:17	500	
B1 190506	00:50	500	BB från kit 3
B1 190522	00:27	500	
BY31 190509	00:22	500	
BY31 190521	00:10	500	kolonn-mtrl i prep (nr 28), BB från kit 3
1901-0370	00:23	500	
1901-0376	00:25	500	
1901-0368	00:22	500	
1901-0377	00:25	500	
1901-0365	00:38	500	
1901-0362	00:23	500	
1901-0361	00:28	500	
1901-0358	00:25	500	
1901-0381	00:20	500	
1901-0379		500	
1901-06v	00:16	500	
1901-06ö	00:17	500	
1918-0083	00:06	500	
1925-0003	00:15	500	
B1 190603	00:40	500	
B1 190618	00:29	300	
BY31 190604	00:10	500	
BY31 190617	11:08	500	
1901-0397	00:19	400	
1901-0403	00:12	500	
1901-0395	00:30	500	
1901-0404	00:22	500	
1901-0392	01:15	500	
1901-0389	00:55	500	
1901-0388	01:12	500	
1901-0385	01:12	500	
1901-0408	00:42	500	
1901-0406	00:33	500	
1901-07v	00:11	500	
1901-07ö	00:15	500	
1918-0095	00:14	500	
1925-0004	00:25	500	
B1 190704	00:21	300	BB från kit 3
B1 190716	00:54	300	
B1 190729	00:39	300	
BY31 190703	00:05	500	
BY31 190715		300	skrynkligt filter, BB från kit 3
BY31 190731	00:13	500	
1901-0481	00:27	500	
1901-0487	00:24	500	
1901-0479	00:23	500	
1901-0488	00:25	500	
1901-0476	00:36	500	
1901-0474	00:25	500	
1901-0473	00:33	500	
1901-0470	01:02	500	
1901-0492	00:55	500	
1901-0491	00:43	500	
1901-08v	00:12	500	
1901-08ö	00:12	500	
1918-0111	00:10	500	
1925-0005	00:15	500	
B1 190813	00:14	500	
H4 190813	00:16	500	BB från kit 3
B1 190826	00:10	500	
H4 190826	00:12	500	BB från kit 3
BY31 190812		250	
BY31 190828		500	
