SHARK	Other_name	Phytoplankton_analysis	nr_of_samples	salinity	lat	lon	station_plots	sea_basin
RÅNEÅ-1	RANEA-1	full	6	2.12844444444444	65.807555	22.374945	RA1	Bothnian Bay
RÅNEÅ-2	RANEA-2	added_by_KJ	12	2.25217361111111	65.7299166666667	22.4466125	RA2	Bothnian Bay
F9 / A13	F9 / A13	full	11	2.97652272727273	64.7083936363636	22.0667727272727	F9 / A13	Bothnian Bay
B7	B7	full	22	4.32830681818182	63.51213	19.8136668181818	B7	Bothnian Sea
GAVIK-1	GAVIK-1	full	12	5.10636805555556	62.8635283333333	18.2638191666667	GA1	Bothnian Sea
C3	C3	full	12	5.13300694444444	62.6527925	18.952195	C3	Bothnian Sea
B1	B1	full	23	6.43810144927536	58.80333	17.62367	B1	Baltic Proper
BY31 LANDSORTSDJ	BY31 LANDSORTSDJ	full	20	6.47566666666667	58.5849405	18.233806	BY31	Baltic Proper
REF M1V1	REF M1V1	full	10	7.14133333333333	56.370477	16.201749	Ref M1V1	Baltic Proper
BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	full	13	7.20974358974359	57.3121769230769	20.0758130769231	BY15	Baltic Proper
SR3/C24	SR3/C24	part_of_community	3	5.2956875	61.18403	18.23200	SR3 / C24	Baltic Proper
BY5 BORNHOLMSDJ	BY5 BORNHOLMSDJ	full	13	7.65794871794872	55.2500315384615	15.9842069230769	BY5	Baltic Proper
BY2 ARKONA	BY2 ARKONA	full	13	8.14589743589744	54.97134	14.0989553846154	BY2	Baltic Proper
ANHOLT E	ANHOLT E	full	20	21.3029824561404	56.6686995	12.110969	Anholt E	Kattegat
N14 FALKENBERG	N14 FALKENBERG	full	12	22.4898611111111	56.9401	12.2120041666667	N14	Kattegat
SLÄGGÖ	SLaggo	full	20	26.6102631578947	58.2580621052632	11.4344957894737	Släggö	Skagerrak
Å17	A17	full	12	31.7222222222222	58.2843316666667	10.50453	Å17	Skagerrak
