scientific_name	Class_MB	taxon_kingdom	taxon_phylum	taxon_class	taxon_order	taxon_family	taxon_genus	taxon_species	translate_to	ab_kingdom	ab_phylum	ab_class	ab_order	ab_family	ab_genus	ab_species
Bacillariophyceae	Bacillariophyceae	Chromista	Bacillariophyta	Bacillariophyceae					Bacillariophyceae	Chromista	Heterokontophyta	Bacillariophyceae				
Chaetoceros ceratosporus var. ceratosporus	Coscinodiscophyceae + Mediophyceae	Chromista	Bacillariophyta	Coscinodiscophyceae + Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros ceratosporus	Chaetoceros ceratosporus	Chromista	Heterokontophyta	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros ceratosporus
Chaetoceros subtilis var. subtilis	Coscinodiscophyceae + Mediophyceae	Chromista	Bacillariophyta	Coscinodiscophyceae + Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros subtilis	Chaetoceros subtilis	Chromista	Heterokontophyta	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros subtilis
Chaetoceros throndsenii var. throndsenii	Coscinodiscophyceae + Mediophyceae	Chromista	Bacillariophyta	Coscinodiscophyceae + Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros throndsenii	Chaetoceros throndsenii	Chromista	Heterokontophyta	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros throndsenii
Chlamydomonadales	Chlorophyceae	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales				Chlamydomonadales	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales			
Chlorodendrales	Chlorodendrophyceae	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales				Chlorodendrales	Plantae	Chlorophyta	Chlorophyceae	Chlorodendrales			
Coscinodiscophyceae	Coscinodiscophyceae + Mediophyceae	Chromista	Bacillariophyta	Coscinodiscophyceae + Mediophyceae					Coscinodiscophyceae	Chromista	Heterokontophyta	Coscinodiscophyceae				
Cryptomonadales	Cryptophyceae	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales				Cryptomonadales	Chromista	Cryptista	Cryptophyceae	Cryptomonadales			
Desmodesmus armatus var. armatus	Chlorophyceae	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Desmodesmus	Desmodesmus armatus	Desmodesmus armatus	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Desmodesmus	Desmodesmus armatus
Dinophyceae	Dinophyceae	Chromista	Miozoa	Dinophyceae					Dinophyceae	Chromista	Dinoflagellata	Dinophyceae				
Entomoneis paludosa var. paludosa	Bacillariophyceae	Chromista	Bacillariophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis	Entomoneis paludosa	Entomoneis paludosa	Chromista	Heterokontophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis	Entomoneis paludosa
Fragilaria capucina var. capucina	Bacillariophyceae	Chromista	Bacillariophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria	Fragilaria capucina	Fragilaria capucina	Chromista	Heterokontophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria	Fragilaria capucina
Gymnodiniales	Dinophyceae	Chromista	Miozoa	Dinophyceae	Gymnodiniales				Gymnodiniales	Chromista	Dinoflagellata	Dinophyceae	Gymnodiniales			
Heterocapsa arctica subsp. frigida	Dinophyceae	Chromista	Miozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa		Heterocapsa arctica subsp. frigida	Chromista	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa arctica subsp. frigida
Odontella sinensis	Coscinodiscophyceae + Mediophyceae	Chromista	Bacillariophyta	Coscinodiscophyceae + Mediophyceae	Triceratiales	Triceratiaceae	Odontella	Odontella sinensis	Trieres chinensis	Chromista	Heterokontophyta	Mediophyceae	Eupodiscales	Parodontellaceae	Trieres	Trieres chinensis
Peridiniales	Dinophyceae	Chromista	Miozoa	Dinophyceae	Peridiniales				Peridiniales	Chromista	Dinoflagellata	Dinophyceae	Peridiniales			
Prymnesiales	Coccolithophyceae	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales				Prymnesiales	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales			
Rhizosolenia hebetata f. semispina	Coscinodiscophyceae + Mediophyceae	Chromista	Bacillariophyta	Coscinodiscophyceae + Mediophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia hebetata	Rhizosolenia hebetata f. semispina	Chromista	Heterokontophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia hebetata f. semispina
Rhizosolenia setigera f. pungens	Coscinodiscophyceae + Mediophyceae	Chromista	Bacillariophyta	Coscinodiscophyceae + Mediophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia setigera	Sundstroemia pungens	Chromista	Heterokontophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Sundstroemia	Sundstroemia pungens
Volvocales	Chlorophyceae	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales				Chlamydomonadales	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales			
Amphora	Bacillariophyceae	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora		Amphora	Chromista	Heterokontophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae		
